drug pair    KEGG    Twosides
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00331    [('http://rest.kegg.jp/ddi/D00235\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00734    [('http://rest.kegg.jp/ddi/D00280\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB00215    [('http://rest.kegg.jp/ddi/D00675\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB00216    [('http://rest.kegg.jp/ddi/D00675\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00962    [('http://rest.kegg.jp/ddi/D00281\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB01041    [('http://rest.kegg.jp/ddi/D00235\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB01069    [('http://rest.kegg.jp/ddi/D00426\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00262-http://bio2rdf.org/drugbank:DB00958    [('http://rest.kegg.jp/ddi/D00254\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00257    [('http://rest.kegg.jp/ddi/D00126\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB01072    [('http://rest.kegg.jp/ddi/D00225\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00683    [('http://rest.kegg.jp/ddi/D00225\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00338    [('http://rest.kegg.jp/ddi/D00283\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00555-http://bio2rdf.org/drugbank:DB00216    [('http://rest.kegg.jp/ddi/D00354\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB01589    [('http://rest.kegg.jp/ddi/D00281\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00331    [('http://rest.kegg.jp/ddi/D00346\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00257-http://bio2rdf.org/drugbank:DB01097    [('http://rest.kegg.jp/ddi/D00282\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00897    [('http://rest.kegg.jp/ddi/D00270\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB01609    [('http://rest.kegg.jp/ddi/D00387\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01238-http://bio2rdf.org/drugbank:DB01198    [('http://rest.kegg.jp/ddi/D01164\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00951    [('http://rest.kegg.jp/ddi/D00270\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00593    [('http://rest.kegg.jp/ddi/D00399\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01062    [('http://rest.kegg.jp/ddi/D00283\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00222    [('http://rest.kegg.jp/ddi/D00322\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00363    [('http://rest.kegg.jp/ddi/D00281\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00231-http://bio2rdf.org/drugbank:DB00476    [('http://rest.kegg.jp/ddi/D00370\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00423-http://bio2rdf.org/drugbank:DB00734    [('http://rest.kegg.jp/ddi/D00402\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00346-http://bio2rdf.org/drugbank:DB00203    [('http://rest.kegg.jp/ddi/D01692\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00761-http://bio2rdf.org/drugbank:DB01339    [('http://rest.kegg.jp/ddi/D02060\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB01117    [('http://rest.kegg.jp/ddi/D00225\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01198    [('http://rest.kegg.jp/ddi/D00283\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB01236    [('http://rest.kegg.jp/ddi/D00399\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00370-http://bio2rdf.org/drugbank:DB01263    [('http://rest.kegg.jp/ddi/D00563\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00370-http://bio2rdf.org/drugbank:DB01264    [('http://rest.kegg.jp/ddi/D00563\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01238-http://bio2rdf.org/drugbank:DB00745    [('http://rest.kegg.jp/ddi/D01164\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00672-http://bio2rdf.org/drugbank:DB00264    [('http://rest.kegg.jp/ddi/D00271\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB00203    [('http://rest.kegg.jp/ddi/D01227\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00897    [('http://rest.kegg.jp/ddi/D00225\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00231-http://bio2rdf.org/drugbank:DB00370    [('http://rest.kegg.jp/ddi/D00370\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB00818    [('http://rest.kegg.jp/ddi/D00547\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00433-http://bio2rdf.org/drugbank:DB00842    [('http://rest.kegg.jp/ddi/D00493\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00582    [('http://rest.kegg.jp/ddi/D00293\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01267    [('http://rest.kegg.jp/ddi/D00136\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00727    [('http://rest.kegg.jp/ddi/D00399\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00745-http://bio2rdf.org/drugbank:DB00203    [('http://rest.kegg.jp/ddi/D01832\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00619    [('http://rest.kegg.jp/ddi/D00455\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00996-http://bio2rdf.org/drugbank:DB00909    [('http://rest.kegg.jp/ddi/D00332\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00745    [('http://rest.kegg.jp/ddi/D00293\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00257-http://bio2rdf.org/drugbank:DB00222    [('http://rest.kegg.jp/ddi/D00282\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00619    [('http://rest.kegg.jp/ddi/D01179\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB01233    [('http://rest.kegg.jp/ddi/D00270\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01128    [('http://rest.kegg.jp/ddi/D00355\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00209    [('http://rest.kegg.jp/ddi/D00670\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB01238    [('http://rest.kegg.jp/ddi/D00270\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00559    [('http://rest.kegg.jp/ddi/D01179\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00231-http://bio2rdf.org/drugbank:DB00850    [('http://rest.kegg.jp/ddi/D00370\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00842    [('http://rest.kegg.jp/ddi/D00387\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB00476    [('http://rest.kegg.jp/ddi/D00474\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01062-http://bio2rdf.org/drugbank:DB00404    [('http://rest.kegg.jp/ddi/D00465\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00829    [('http://rest.kegg.jp/ddi/D00281\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00842-http://bio2rdf.org/drugbank:DB00484    [('http://rest.kegg.jp/ddi/D00464\r', None)]    [(None, None)]
