drug pair    KEGG    DrugBank
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01172    [('http://rest.kegg.jp/ddi/D00331\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00047    [('http://rest.kegg.jp/ddi/D02358\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01351    [('http://rest.kegg.jp/ddi/D00554\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00413-http://bio2rdf.org/drugbank:DB01624    [('http://rest.kegg.jp/ddi/D00559\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00543-http://bio2rdf.org/drugbank:DB00816    [('http://rest.kegg.jp/ddi/D00228\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00755-http://bio2rdf.org/drugbank:DB00564    [('http://rest.kegg.jp/ddi/D00094\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00900-http://bio2rdf.org/drugbank:DB00943    [('http://rest.kegg.jp/ddi/D00296\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB00701    [('http://rest.kegg.jp/ddi/D00560\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00310-http://bio2rdf.org/drugbank:DB00390    [('http://rest.kegg.jp/ddi/D00272\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB00734    [('http://rest.kegg.jp/ddi/D00350\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB00736    [('http://rest.kegg.jp/ddi/D00350\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00280    [('http://rest.kegg.jp/ddi/D00211\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01394-http://bio2rdf.org/drugbank:DB00582    [('http://rest.kegg.jp/ddi/D00570\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB06287    [('http://rest.kegg.jp/ddi/D00252\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01203-http://bio2rdf.org/drugbank:DB00047    [('http://rest.kegg.jp/ddi/D00432\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB08920    [('http://rest.kegg.jp/ddi/D02106\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00266    [('http://rest.kegg.jp/ddi/D00315\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00519    [('http://rest.kegg.jp/ddi/D00330\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB00976    [('http://rest.kegg.jp/ddi/D00292\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00475-http://bio2rdf.org/drugbank:DB00501    [('http://rest.kegg.jp/ddi/D00267\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06212-http://bio2rdf.org/drugbank:DB00872    [('http://rest.kegg.jp/ddi/D01213\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00227    [('http://rest.kegg.jp/ddi/D00322\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB01418    [('http://rest.kegg.jp/ddi/D00565\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00266    [('http://rest.kegg.jp/ddi/D00127\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00949    [('http://rest.kegg.jp/ddi/D00252\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB00564    [('http://rest.kegg.jp/ddi/D04999\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB00820    [('http://rest.kegg.jp/ddi/D00350\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB01558    [('http://rest.kegg.jp/ddi/D00350\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00414-http://bio2rdf.org/drugbank:DB00636    [('http://rest.kegg.jp/ddi/D00219\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01263    [('http://rest.kegg.jp/ddi/D00184\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB06287    [('http://rest.kegg.jp/ddi/D01425\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB00683    [('http://rest.kegg.jp/ddi/D00350\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00887-http://bio2rdf.org/drugbank:DB01078    [('http://rest.kegg.jp/ddi/D00247\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00784-http://bio2rdf.org/drugbank:DB00519    [('http://rest.kegg.jp/ddi/D00151\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00795    [('http://rest.kegg.jp/ddi/D00298\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01032    [('http://rest.kegg.jp/ddi/D00109\r', None)]    [(None, None)]
