drug pair    SemMedDB    KEGG
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00440    [(None, None)]    [('http://rest.kegg.jp/ddi/D00142\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00295    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00783-http://bio2rdf.org/drugbank:DB00396    [(None, None)]    [('http://rest.kegg.jp/ddi/D00066\r', None)]
http://bio2rdf.org/drugbank:DB00475-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00475-http://bio2rdf.org/drugbank:DB01544    [(None, None)]    [('http://rest.kegg.jp/ddi/D00267\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00839    [(None, None)]    [('http://rest.kegg.jp/ddi/D00379\r', None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [('http://rest.kegg.jp/ddi/D00293\r', None)]
http://bio2rdf.org/drugbank:DB00761-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00727-http://bio2rdf.org/drugbank:DB00883    [(None, None)]    [('http://rest.kegg.jp/ddi/D00515\r', None)]
http://bio2rdf.org/drugbank:DB06150-http://bio2rdf.org/drugbank:DB01032    [(None, None)]    [('http://rest.kegg.jp/ddi/D00475\r', None)]
http://bio2rdf.org/drugbank:DB01588-http://bio2rdf.org/drugbank:DB00475    [(None, None)]    [('http://rest.kegg.jp/ddi/D00267\r', None)]
http://bio2rdf.org/drugbank:DB00624-http://bio2rdf.org/drugbank:DB01240    [(None, None)]    [('http://rest.kegg.jp/ddi/D00075\r', None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [('http://rest.kegg.jp/ddi/D00225\r', None)]
http://bio2rdf.org/drugbank:DB00475-http://bio2rdf.org/drugbank:DB00295    [(None, None)]    [('http://rest.kegg.jp/ddi/D00267\r', None)]
http://bio2rdf.org/drugbank:DB00917-http://bio2rdf.org/drugbank:DB00668    [(None, None)]    [('http://rest.kegg.jp/ddi/D00079\r', None)]
http://bio2rdf.org/drugbank:DB01020-http://bio2rdf.org/drugbank:DB00883    [(None, None)]    [('http://rest.kegg.jp/ddi/D00516\r', None)]
http://bio2rdf.org/drugbank:DB00668-http://bio2rdf.org/drugbank:DB02959    [(None, None)]    [('http://rest.kegg.jp/ddi/D00095\r', None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00295    [(None, None)]    [('http://rest.kegg.jp/ddi/D00270\r', None)]
http://bio2rdf.org/drugbank:DB00887-http://bio2rdf.org/drugbank:DB00668    [(None, None)]    [('http://rest.kegg.jp/ddi/D00095\r', None)]
