drug pair    ONCNonInteruptive    DrugBank
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB08822    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00860-http://bio2rdf.org/drugbank:DB01122    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB08822    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00472    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00275    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00784    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00635    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01095    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB08822    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00279-http://bio2rdf.org/drugbank:DB00258    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00635-http://bio2rdf.org/drugbank:DB00545    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00635-http://bio2rdf.org/drugbank:DB01010    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00712    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB01122    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB08822    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB01010    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB01104    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00232-http://bio2rdf.org/drugbank:DB00519    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB00545    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00991    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB08822    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00519    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB01122    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB08822    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01234    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01136-http://bio2rdf.org/drugbank:DB01175    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01136-http://bio2rdf.org/drugbank:DB00715    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00741-http://bio2rdf.org/drugbank:DB01010    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00519    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
